"","count","month_year"
"1",11,NA
"2",63,"01-2011"
"3",458,"01-2012"
"4",1165,"01-2013"
"5",3951,"01-2014"
"6",10877,"01-2015"
"7",31592,"01-2016"
"8",62480,"01-2017"
"9",94327,"01-2018"
"10",135792,"01-2019"
"11",187645,"01-2020"
"12",71446,"01-2021"
"13",72,"02-2011"
"14",362,"02-2012"
"15",975,"02-2013"
"16",3201,"02-2014"
"17",12258,"02-2015"
"18",32271,"02-2016"
"19",51147,"02-2017"
"20",82115,"02-2018"
"21",125555,"02-2019"
"22",159065,"02-2020"
"23",41680,"02-2021"
"24",180,"03-2011"
"25",533,"03-2012"
"26",1435,"03-2013"
"27",4522,"03-2014"
"28",15045,"03-2015"
"29",32608,"03-2016"
"30",64517,"03-2017"
"31",104495,"03-2018"
"32",146423,"03-2019"
"33",126918,"03-2020"
"34",52662,"03-2021"
"35",146,"04-2011"
"36",377,"04-2012"
"37",881,"04-2013"
"38",3903,"04-2014"
"39",11213,"04-2015"
"40",28349,"04-2016"
"41",61289,"04-2017"
"42",87836,"04-2018"
"43",129753,"04-2019"
"44",21918,"04-2020"
"45",57001,"04-2021"
"46",151,"05-2011"
"47",465,"05-2012"
"48",955,"05-2013"
"49",3495,"05-2014"
"50",10531,"05-2015"
"51",28709,"05-2016"
"52",48636,"05-2017"
"53",70934,"05-2018"
"54",105814,"05-2019"
"55",24710,"05-2020"
"56",46560,"05-2021"
"57",151,"06-2011"
"58",392,"06-2012"
"59",1137,"06-2013"
"60",3631,"06-2014"
"61",11739,"06-2015"
"62",26378,"06-2016"
"63",52525,"06-2017"
"64",78387,"06-2018"
"65",109327,"06-2019"
"66",55609,"06-2020"
"67",13518,"06-2021"
"68",119,"07-2011"
"69",519,"07-2012"
"70",1991,"07-2013"
"71",4567,"07-2014"
"72",16732,"07-2015"
"73",36694,"07-2016"
"74",61776,"07-2017"
"75",98552,"07-2018"
"76",129056,"07-2019"
"77",32794,"07-2020"
"78",15054,"07-2021"
"79",11,"08-2010"
"80",133,"08-2011"
"81",459,"08-2012"
"82",1671,"08-2013"
"83",5400,"08-2014"
"84",15482,"08-2015"
"85",34270,"08-2016"
"86",57342,"08-2017"
"87",90117,"08-2018"
"88",128644,"08-2019"
"89",9923,"08-2020"
"90",3337,"08-2021"
"91",15,"09-2010"
"92",229,"09-2011"
"93",586,"09-2012"
"94",1586,"09-2013"
"95",5439,"09-2014"
"96",14768,"09-2015"
"97",36974,"09-2016"
"98",60556,"09-2017"
"99",94092,"09-2018"
"100",125703,"09-2019"
"101",7450,"09-2020"
"102",225,"09-2021"
"103",33,"10-2010"
"104",264,"10-2011"
"105",788,"10-2012"
"106",2342,"10-2013"
"107",8843,"10-2014"
"108",22132,"10-2015"
"109",50188,"10-2016"
"110",74891,"10-2017"
"111",119850,"10-2018"
"112",156374,"10-2019"
"113",9668,"10-2020"
"114",55,"11-2010"
"115",398,"11-2011"
"116",764,"11-2012"
"117",2482,"11-2013"
"118",8936,"11-2014"
"119",24219,"11-2015"
"120",50471,"11-2016"
"121",74614,"11-2017"
"122",123364,"11-2018"
"123",175024,"11-2019"
"124",41034,"11-2020"
"125",75,"12-2010"
"126",250,"12-2011"
"127",868,"12-2012"
"128",3033,"12-2013"
"129",8598,"12-2014"
"130",25445,"12-2015"
"131",51868,"12-2016"
"132",85554,"12-2017"
"133",117003,"12-2018"
"134",169653,"12-2019"
"135",71349,"12-2020"
